time,N00,N01,N10,N11
0,11,27,17,113
0.04,15,25,30,91
0.08,22,38,25,77
0.12,19,34,39,78
0.16,29,29,29,75
0.2,34,26,34,61
0.24,30,47,35,60
0.28,33,32,26,65
0.32,49,23,42,60
0.36,61,27,15,65
0.4,48,28,20,66
0.44,50,31,33,55
0.48,63,26,36,44
0.52,67,26,27,42
0.56,76,33,25,43
0.6,91,21,24,32
0,15,19,21,107
0,16,17,25,107
0,20,24,19,93
0,24,20,16,109
0,19,23,19,106
0,19,18,10,119
0,24,21,19,95
0,23,15,20,99
0,29,14,16,92
0,21,29,13,100
0,24,16,14,102
0,18,21,21,113
0,23,21,12,94
0,25,27,18,92
0,12,21,20,103
0.04,10,20,16,105
0.08,15,20,17,101
0.12,18,22,31,80
0.16,17,30,34,70
0.2,19,30,37,72
0.24,41,26,35,61
0.28,41,33,37,55
0.32,43,21,38,60
0.36,42,28,27,53
0.4,46,33,25,46
0.44,57,24,29,41
0.48,57,26,22,50
0.52,69,25,19,29
0.56,56,36,20,33
0.6,68,17,26,26
0,18,22,16,98
0.04,22,18,21,90
0.08,13,18,12,94
0.12,19,22,30,79
0.16,22,23,27,64
0.2,24,25,28,67
0.24,41,33,32,51
0.28,37,29,36,47
0.32,42,26,32,41
0.36,43,36,30,37
0.4,43,34,35,37
0.44,57,37,20,36
0.48,66,20,25,31
0.52,80,26,28,24
0.56,68,14,31,29
0.6,59,27,29,32
0,22,11,11,105
0.04,19,15,17,94
0.08,21,26,18,89
0.12,27,33,24,64
0.16,27,31,30,70
0.2,34,30,34,47
0.24,41,32,28,62
0.28,42,33,39,43
0.32,49,27,38,39
0.36,40,25,35,47
0.4,49,33,37,30
