time,N0,N1
0,3,83
0.04,9,77
0.08,18,70
0.12,18,64
0.16,19,54
0.2,33,46
0.24,33,50
0.28,30,55
0.32,37,48
0.36,42,44
0.4,57,23
0.44,58,28
0.48,65,22
0.52,59,23
0.56,61,22
0.6,68,17
0,6,78
0.04,7,78
0.08,9,72
0.12,9,68
0.16,28,53
0.2,25,56
0.24,36,49
0.28,41,41
0.32,42,44
0.36,43,44
0.4,49,27
0.44,53,33
0.48,62,23
0.52,53,26
0.56,55,22
0.6,70,16
0,7,75
0.04,15,69
0.08,17,63
0.12,19,63
0.16,18,68
0.2,29,64
0.24,33,49
0.28,36,54
0.32,40,38
0.36,49,38
0.4,49,37
0.44,59,29
0.48,55,30
0.52,63,19
0.56,60,19
0.6,68,17
0,12,79
0.04,5,81
0.08,10,75
0.12,22,61
0.16,22,63
0.2,24,54
0.24,35,53
0.28,33,45
0.32,47,34
0.36,47,38
0.4,58,25
0.44,62,26
0.48,66,22
0.52,69,16
0.56,65,20
0.6,66,15
