time,N0,N1
0,4,84
0.02,13,83
0.04,35,60
0.06,52,36
0.08,74,17
0.1,80,7
0.12,92,2
0.14,90,2
0.16,78,9
0.18,86,9
0.2,77,10
0.22,84,9
0.24,82,7
0.26,88,5
0.28,89,2
0.3,94,0
0.32,91,0
0.34,92,2
0.36,83,1
0.38,92,1
0.4,89,5
0.42,90,1
0.44,92,2
0.46,90,0
0.48,90,0
0.5,93,1
0.52,87,1
0.54,89,0
0.56,91,1
0.58,93,1
0.6,91,1
0.32,89,1
0.34,91,0
0.36,93,4
0.38,89,3
0.4,86,3
0.42,89,0
0.44,89,2
0.46,90,1
0.48,93,2
0.5,89,1
0.52,90,2
0.54,90,0
0.56,89,1
0.58,88,2
0.6,91,1
0.32,93,1
0.34,98,0
0.36,92,2
0.38,89,1
0.4,85,4
0.42,87,2
0.44,92,4
0.46,90,1
0.48,91,0
0.5,88,0
0.52,92,1
0.54,89,0
0.56,96,0
0.58,88,1
0.6,91,3
0.32,93,1
0.34,88,1
0.36,87,4
0.38,86,4
0.4,93,2
0.42,90,2
0.44,84,5
0.46,89,2
0.48,93,0
0.5,96,0
0.52,96,1
0.54,86,0
0.56,89,0
0.58,86,1
0.6,93,1
0,11,83
0.02,22,71
0.04,39,56
0.06,53,43
0.08,78,16
0.1,83,8
0.12,89,1
0.14,91,4
0.16,87,6
0.18,79,12
0.2,81,10
0.22,82,11
0.24,84,6
0.26,91,4
0.28,90,1
0.3,91,0
0.32,93,1
0.34,94,2
0.36,88,4
0.38,91,3
0.4,92,0
0.42,92,2
0.44,89,2
0.46,92,1
0.48,95,1
0.5,93,1
0.52,93,2
0.54,93,0
0.56,94,0
0.58,93,2
0.6,94,1
0.32,93,1
0.34,91,1
0.36,93,0
0.38,90,1
0.4,92,1
0.42,89,2
0.4,88,2
0.42,92,2
0.44,86,1
0.46,92,0
0.48,84,0
0.5,86,0
0.52,92,0
0.54,90,0
0.56,89,0
0.58,97,1
0.6,97,0
0.32,93,1
0.34,94,1
0.36,96,0
0.38,85,1
0.4,90,2
0.42,90,1
0.44,88,2
0.46,90,0
0.48,91,2
0.5,91,0
0.52,97,0
0.54,94,0
0.56,90,1
0.58,91,0
0.6,86,2
0.32,94,1
0.34,93,1
0.36,86,1
0.38,91,2
0.4,87,2
0.42,96,3
0.44,89,1
0.46,90,1
0.48,92,1
0.5,86,1
0.52,87,0
0.54,92,1
0.56,93,0
0.58,94,0
0.6,93,1
0,10,81
0.02,14,78
0.04,31,61
0.06,60,38
0.08,72,17
0.1,83,5
0.12,91,2
0.14,90,1
0.16,84,9
0.18,86,9
0.2,82,11
0.22,83,12
0.24,80,14
0.26,86,6
0.28,92,2
0.3,86,1
0.32,93,0
0.34,91,0
0.36,89,3
0.38,93,2
0.4,93,2
0.42,88,1
0.44,89,3
0.46,89,3
0.48,96,2
0.5,88,1
0.52,95,1
0.54,95,0
0.56,89,0
0.58,89,1
0.6,92,1
0.32,94,1
0.34,98,0
0.36,91,1
0.38,87,2
0.4,90,0
0.42,91,5
0.44,91,1
0.46,93,1
0.48,89,1
0.5,93,0
0.52,90,0
0.54,91,1
0.56,92,0
0.58,85,0
0.6,86,0
0.32,94,1
0.34,95,1
0.36,90,1
0.38,91,1
0.4,89,1
0.42,84,3
0.44,88,3
0.46,89,0
0.48,94,1
0.5,90,1
0.52,92,0
0.54,91,1
0.56,92,1
0.58,90,0
0.6,90,2
0.32,92,0
0.34,94,2
0.36,91,3
0.38,88,5
0.4,95,1
0.42,87,2
0.44,92,1
0.46,91,0
0.48,99,0
0.5,97,0
0.52,92,0
0.54,91,0
0.56,92,0
0.58,92,0
0.6,92,0
0,10,79
0.02,12,82
0.04,39,52
0.06,46,49
0.08,72,16
0.1,88,4
0.12,91,0
0.14,87,4
0.16,86,5
0.18,85,7
0.2,82,11
0.22,83,11
0.24,84,11
0.26,83,6
0.28,89,4
0.3,94,2
0.32,94,0
0.34,92,0
0.36,91,2
0.38,96,1
0.4,90,1
0.42,89,1
0.44,91,0
0.46,89,3
0.48,95,1
0.5,86,1
0.52,89,0
0.54,91,0
0.56,95,0
0.58,88,0
0.6,92,2
0.32,92,2
0.34,90,1
0.36,87,1
0.38,90,1
0.4,92,3
0.42,89,2
0.44,89,1
0.46,94,0
0.48,94,1
0.5,90,3
0.52,92,0
0.54,94,0
0.56,92,2
0.58,85,0
0.6,94,1
0.32,95,0
0.34,92,0
0.36,89,1
0.38,93,1
0.4,83,2
0.42,90,1
0.44,93,0
0.46,91,2
0.48,93,1
0.5,92,2
0.52,91,0
0.54,94,0
0.56,95,0
0.58,90,0
0.6,88,0
0.32,89,0
0.34,89,0
0.36,93,2
0.38,90,3
0.4,90,1
0.42,92,1
0.44,87,3
0.46,88,4
0.48,90,1
0.5,92,0
0.52,96,1
0.54,88,3
0.56,93,1
0.58,95,3
0.6,93,0
0,5,87
0.02,15,77
0.04,42,50
0.06,54,38
0.08,80,16
0.1,84,7
0.12,92,1
0.14,88,4
0.16,84,10
0.18,87,5
0.2,77,11
0.22,78,11
0.24,84,8
0.26,90,6
0.28,89,2
0.3,93,0
0.32,95,1
0.34,87,0
0.36,90,2
0.38,90,1
0.4,83,4
0.42,90,2
0.44,90,2
0.46,87,0
0.48,97,0
0.5,92,1
0.52,90,0
0.54,88,1
0.56,87,1
0.58,90,1
0.6,93,0
0.32,94,0
0.34,94,1
