Ω/γ,V/γ
0.500000015,0
0.534678293,0.01
0.5549253,0.02
0.571838381,0.03
0.586882007,0.04
0.600665076,0.05
0.613515249,0.06
0.62563454,0.07
0.637158629,0.08
0.648184264,0.09
0.658783477,0.1
0.669011758,0.11
0.678912998,0.12
0.688522683,0.13
0.697870023,0.14
0.706979431,0.15
0.715871585,0.16
0.724564169,0.17
0.73307251,0.18
0.741409913,0.19
0.749588156,0.2
0.75761759,0.21
0.765507465,0.22
0.773266051,0.23
0.780900807,0.24
0.788418462,0.25
0.795825126,0.26
0.803126377,0.27
0.810327296,0.28
0.817432587,0.29
0.824446552,0.3
0.831373145,0.31
0.83821607,0.32
0.844978735,0.33
0.851664331,0.34
0.858275792,0.35
0.864815913,0.36
0.871287286,0.37
0.877692317,0.38
0.884033309,0.39
0.890312403,0.4
0.896531631,0.41
0.902692889,0.42
0.908797994,0.43
0.914848655,0.44
0.920846499,0.45
0.926793038,0.46
0.932689769,0.47
0.938538053,0.48
0.944339228,0.49
0.950094534,0.5
0.955805199,0.51
0.961472349,0.52
0.967097099,0.53
0.972680491,0.54
0.978223536,0.55
0.983727173,0.56
0.98919236,0.57
0.994619961,0.58
1.000010823,0.59
1.005365769,0.6
1.010685603,0.61
1.01597107,0.62
1.021222889,0.63
1.026441759,0.64
1.03162837,0.65
1.036783389,0.66
1.041907419,0.67
1.047001073,0.68
1.05206494,0.69
1.057099599,0.7
1.062105581,0.71
1.067083447,0.72
1.07203369,0.73
1.076956814,0.74
1.08185329,0.75
1.0867236,0.76
1.091568212,0.77
1.096387527,0.78
1.101182009,0.79
1.105952053,0.8
1.110698071,0.81
1.115420449,0.82
1.120119573,0.83
1.124795803,0.84
1.129449508,0.85
1.134081041,0.86
1.138690739,0.87
1.143278928,0.88
1.147845946,0.89
1.152392088,0.9
1.156917673,0.91
1.161422995,0.92
1.165908361,0.93
1.170374034,0.94
1.17482029,0.95
1.17924742,0.96
1.183655676,0.97
1.188045328,0.98
1.192416605,0.99
1.196769763,1
1.201105048,1.01
1.205422692,1.02
1.209722928,1.03
1.214005973,1.04
1.218272045,1.05
1.222521367,1.06
1.226754143,1.07
1.230970581,1.08
1.23517089,1.09
1.23935525,1.1
1.243523856,1.11
1.247676915,1.12
1.251814583,1.13
1.255937072,1.14
1.260044543,1.15
1.264137158,1.16
1.268215117,1.17
1.272278563,1.18
1.276327667,1.19
1.28036259,1.2
1.284383493,1.21
1.288390519,1.22
1.292383835,1.23
1.296363587,1.24
1.300329901,1.25
1.304282949,1.26
1.308222849,1.27
1.312149754,1.28
1.316063785,1.29
1.319965088,1.3
1.323853798,1.31
1.327730031,1.32
1.331593912,1.33
1.33544557,1.34
1.339285126,1.35
1.343112709,1.36
1.346928429,1.37
1.3507324,1.38
1.354524731,1.39
1.358305549,1.4
1.362074946,1.41
1.36583305,1.42
1.369579953,1.43
1.373315775,1.44
1.377040601,1.45
1.380754539,1.46
1.384457687,1.47
1.388150157,1.48
1.391832025,1.49
1.395503404,1.5
1.399164373,1.51
1.402815047,1.52
1.406455483,1.53
1.410085809,1.54
1.413706083,1.55
1.417316401,1.56
1.420916858,1.57
1.424507538,1.58
1.428088502,1.59
1.431659862,1.6
1.435221667,1.61
1.438774028,1.62
1.442317011,1.63
1.44585068,1.64
1.449375136,1.65
1.452890433,1.66
1.456396663,1.67
1.459893881,1.68
1.463382178,1.69
1.466861599,1.7
1.47033225,1.71
1.473794163,1.72
1.477247433,1.73
1.480692119,1.74
1.484128292,1.75
1.487556011,1.76
1.490975336,1.77
1.494386341,1.78
1.497789086,1.79
1.501183633,1.8
1.504570043,1.81
1.507948379,1.82
1.511318691,1.83
1.514681055,1.84
1.51803551,1.85
1.521382132,1.86
1.524720974,1.87
1.528052086,1.88
1.531375524,1.89
1.534691338,1.9
1.537999609,1.91
1.541300353,1.92
1.544593648,1.93
1.547879537,1.94
1.551158074,1.95
1.554429315,1.96
1.557693291,1.97
1.560950082,1.98
1.564199719,1.99
1.567442246,2
1.57067772,2.01
1.573906186,2.02
1.577127688,2.03
1.580342283,2.04
1.583550018,2.05
1.586750911,2.06
1.589945048,2.07
1.593132435,2.08
1.596313145,2.09
1.599487198,2.1
1.602654654,2.11
1.605815548,2.12
1.608969926,2.13
1.612117823,2.14
1.615259299,2.15
1.618394364,2.16
1.621523079,2.17
1.624645479,2.18
1.627761613,2.19
1.630871503,2.2
1.633975198,2.21
1.637072722,2.22
1.640164136,2.23
1.643249466,2.24
1.646328746,2.25
1.649402013,2.26
1.652469306,2.27
1.655530661,2.28
1.658586115,2.29
1.661635693,2.3
1.664679445,2.31
1.667717397,2.32
1.670749586,2.33
1.673776037,2.34
1.676796788,2.35
1.679811892,2.36
1.682821346,2.37
1.685825203,2.38
1.688823502,2.39
1.691816255,2.4
1.694803501,2.41
1.697785294,2.42
1.700761631,2.43
1.703732553,2.44
1.7066981,2.45
1.709658283,2.46
1.712613158,2.47
1.715562736,2.48
1.718507059,2.49
1.721446139,2.5
1.724380016,2.51
1.727308719,2.52
1.730232259,2.53
1.733150693,2.54
1.736064033,2.55
1.738972293,2.56
1.741875528,2.57
1.744773752,2.58
1.747666979,2.59
1.75055525,2.6
1.753438594,2.61
1.756317024,2.62
1.759190569,2.63
1.76205927,2.64
1.764923128,2.65
1.767782185,2.66
1.770636456,2.67
1.773485984,2.68
1.776330767,2.69
1.779170851,2.7
1.782006234,2.71
1.784836975,2.72
1.787663073,2.73
1.790484544,2.74
1.793301445,2.75
1.796113763,2.76
1.798921541,2.77
1.801724794,2.78
1.804523552,2.79
1.807317829,2.8
1.810107642,2.81
1.812893034,2.82
1.815674005,2.83
1.818450587,2.84
1.821222794,2.85
1.823990656,2.86
1.826754189,2.87
1.829513423,2.88
1.832268359,2.89
1.835019042,2.9
1.837765458,2.91
1.840507668,2.92
1.843245657,2.93
1.84597947,2.94
1.84870911,2.95
1.851434606,2.96
1.854155975,2.97
1.856873233,2.98
1.859586395,2.99
1.862295493,3
1.865000529,3.01
1.867701547,3.02
1.870398536,3.03
1.873091539,3.04
1.87578056,3.05
1.878465615,3.06
1.881146719,3.07
1.883823905,3.08
1.886497189,3.09
1.889166587,3.1
1.891832101,3.11
1.894493748,3.12
1.897151575,3.13
1.899805567,3.14
1.902455772,3.15
1.905102177,3.16
1.907744798,3.17
1.910383683,3.18
1.913018817,3.19
1.915650234,3.2
1.918277934,3.21
1.92090195,3.22
1.9235223,3.23
1.926138984,3.24
1.92875202,3.25
1.931361425,3.26
1.933967217,3.27
1.936569411,3.28
1.939168027,3.29
1.94176308,3.3
1.944354573,3.31
1.946942522,3.32
1.949526962,3.33
1.952107893,3.34
1.954685318,3.35
1.957259269,3.36
1.959829764,3.37
1.962396789,3.38
1.964960394,3.39
1.967520563,3.4
1.970077331,3.41
1.972630716,3.42
1.975180702,3.43
1.977727325,3.44
1.9802706,3.45
1.982810532,3.46
1.98534712,3.47
1.987880415,3.48
1.990410403,3.49
1.992937102,3.5
1.99546053,3.51
1.997980687,3.52
2.000497609,3.53
2.003011282,3.54
2.005521739,3.55
2.008028982,3.56
2.010533029,3.57
2.013033899,3.58
2.015531577,3.59
2.018026114,3.6
2.020517495,3.61
2.023005723,3.62
2.025490847,3.63
2.027972855,3.64
2.030451747,3.65
2.032927558,3.66
2.035400307,3.67
2.037869963,3.68
2.040336593,3.69
2.042800167,3.7
2.045260703,3.71
2.047718219,3.72
2.050172734,3.73
2.052624249,3.74
2.055072784,3.75
2.05751834,3.76
2.05996092,3.77
2.062400558,3.78
2.064837256,3.79
2.067271017,3.8
2.069701858,3.81
2.072129783,3.82
2.07455481,3.83
2.076976956,3.84
2.079396226,3.85
2.081812619,3.86
2.084226156,3.87
2.086636838,3.88
2.089044701,3.89
2.091449713,3.9
2.093851927,3.91
2.096251328,3.92
2.098647934,3.93
2.101041748,3.94
2.103432789,3.95
2.105821059,3.96
2.108206576,3.97
2.110589343,3.98
2.112969362,3.99
2.115346668,4
2.117721247,4.01
2.120093102,4.02
2.122462284,4.03
2.124828762,4.04
2.127192555,4.05
2.129553665,4.06
2.131912128,4.07
2.13426793,4.08
2.136621089,4.09
2.138971607,4.1
2.141319504,4.11
2.143664782,4.12
2.146007459,4.13
2.148347522,4.14
2.150684989,4.15
2.153019878,4.16
2.155352194,4.17
2.157681953,4.18
2.160009143,4.19
2.162333781,4.2
2.164655888,4.21
2.166975464,4.22
2.169292513,4.23
2.171607054,4.24
2.173919071,4.25
2.176228601,4.26
2.178535629,4.27
2.180840192,4.28
2.183142274,4.29
2.185441895,4.3
2.187739039,4.31
2.190033744,4.32
2.192326012,4.33
2.194615844,4.34
2.196903242,4.35
2.199188227,4.36
2.2014708,4.37
2.20375098,4.38
2.206028753,4.39
2.208304138,4.4
2.210577137,4.41
2.21284777,4.42
2.215116038,4.43
2.217381961,4.44
2.219645507,4.45
2.22190673,4.46
2.224165614,4.47
2.226422162,4.48
2.228676393,4.49
2.230928327,4.5
2.23317793,4.51
2.235425241,4.52
2.237670261,4.53
2.23991301,4.54
2.242153454,4.55
2.244391649,4.56
2.246627561,4.57
2.248861228,4.58
2.251092652,4.59
2.253321817,4.6
2.255548761,4.61
2.257773468,4.62
2.25999594,4.63
2.262216214,4.64
2.264434258,4.65
2.266650126,4.66
2.268863768,4.67
2.271075238,4.68
2.273284521,4.69
2.275491637,4.7
2.27769657,4.71
2.279899357,4.72
2.282099965,4.73
2.284298433,4.74
2.286494761,4.75
2.288688934,4.76
2.29088099,4.77
2.29307093,4.78
2.295258722,4.79
2.29744442,4.8
2.299628009,4.81
2.301809492,4.82
2.303988887,4.83
2.306166196,4.84
2.308341423,4.85
2.310514569,4.86
2.312685635,4.87
2.314854661,4.88
2.317021611,4.89
2.319186507,4.9
2.321349367,4.91
2.323510176,4.92
2.325668954,4.93
2.327825703,4.94
2.329980425,4.95
2.33213314,4.96
2.334283831,4.97
2.33643252,4.98
2.338579207,4.99
2.340723896,5
